dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,7B 40Pred untrained,65,0.6770833333333334,0.0477244334453667,0.0320646894013864,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,66,0.6875,0.0464442883104994,0.0322486630668555,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,67,0.6979166666666666,0.0460250029662949,0.0315898170116095,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,68,0.7083333333333334,0.049193513532512,0.0309470340374288,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,69,0.71875,0.0489252873215367,0.0316080033482652,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,70,0.7291666666666666,0.0476489585484307,0.0314116153263964,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,71,0.7395833333333334,0.0478719801621046,0.0312421976606184,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,72,0.75,0.0487305280458457,0.0315200737401957,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,73,0.7604166666666666,0.0479047108038898,0.0318796506654961,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,74,0.7708333333333334,0.0513701724672784,0.0319816435233669,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,75,0.78125,0.0487527556511494,0.0321703086286694,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,76,0.7916666666666666,0.0465661216606407,0.0322709027311482,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,77,0.8020833333333334,0.047067148729437,0.0322274205368822,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,78,0.8125,0.0492429744730919,0.0326307879659575,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,79,0.8229166666666666,0.0499886049522622,0.0324478201069581,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,80,0.8333333333333334,0.0510508995948592,0.0323274285554495,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,81,0.84375,0.0512688068433206,0.0322507528465569,8,mean participant-level r_cv_norm in language fROIs
